state_code,city,lat,lon,price_per_gallon,name,address,opis_id
IN,Waterloo,39.467073,-84.008278,3.699,MORNING STAR AUTO TRUCK PLAZA,"I-69, EXIT 334 & US-6",64946
KS,Iola,39.144247,-96.276486,3.2057,PETES #36,US- 54 & US-169,64949
KS,Hiawatha,39.320718,-98.041192,3.1507,CASEYS #2957,US-73 & US-36,64950
KS,Johnson,37.379541,-97.847074,3.399,AMPRIDE,US-160,64952
KS,Powhattan,39.650129,-98.200015,2.984,SAC AND FOX TRUCK STOP,US-75,64961
KS,Strong City,38.697188,-94.547074,2.919,FLINT HILLS ONE STOP,US-50,64963
KS,Sublette,37.203071,-95.41178,3.679,U PUMP IT,US-83 & US-56,64964
KY,Campbellsville,38.450493,-83.267126,3.159,ALLSTAR FOOD MART,SR-55,64969
KY,Isom,37.603434,-86.161243,3.749,DOUBLE KWIK MARKET #1044,SR-15/SR-7/SR-160,64980
KY,Maysville,36.379905,-86.531832,3.364,FAS MART #5260,SR-9 & US-68/US-62/SR-10,64982
KY,Nicholasville,37.438728,-83.690655,3.499,DOUBLE KWIK MARKET #1062,"I-75, EXIT 104",64984
KY,Russell Springs,37.121081,-83.620067,3.199,LAKE COUNTRY OUTDOORS,SR-127,64990
KY,Willisburg,38.132846,-84.043596,3.379,E Z STOP,SR-555 & SR-9002,64994
LA,Westwego,31.46996,-90.870746,3.449,AVONDALE TRUCK STOP,SR-90,64996
LA,Morgan City,30.893489,-94.02957,3.399,CM BAYOU VISTA,US-90,64998
LA,Bossier City,31.552313,-91.382511,2.9923,I 220 TRAVEL PLAZA,"I-270, EXIT 17A & US-80/US-79",64999
LA,Breaux Bridge,32.246431,-91.576629,3.369,SILVERS TRAVEL CENTER,"I-10, EXIT 109",65000
LA,Broussard,30.493489,-91.082511,3.3023,FOOD N FUN #11,US-90 & SR-92-1,65002
LA,Calhoun,31.834666,-91.294276,3.2157,USA TRAVEL CENTER,"I-20, EXIT 103/US-80",65005
LA,Eunice,32.4374,-103.1596,3.199,GOLDMINE TRUCKSTOP,US-190,65006
LA,Gramercy,31.199372,-91.964864,3.419,GOLDEN GROVE TRUCK PLAZA,SR-641 & SR-3125,65007
LA,Gray,31.952313,-91.80604,3.499,BIG WHEELS TRAVEL CENTER,"US-90, EXIT 204 & SR-316",65008
LA,Houma,30.117019,-92.017805,3.1157,PLANTATION TRUCK PLAZA,SR-311 & SR-664,65011
LA,Mansura,29.775842,-92.123687,3.399,Y NOT STOP MANSURA,SR-1,65017
LA,Saint Martinville,29.775842,-92.017805,3.329,Hwy 31 Truck Stop,SR 31,65019
LA,Opelousas,32.434666,-93.994276,2.8707,OPELOUSAS 190 TRUCK STOP,US-190,65021
LA,Raceland,32.658195,-93.694276,3.299,CM RACELAND,SR-1,65022
LA,Rayne,32.387607,-92.953099,3.149,SHOP RITE #85,"I-10, EXIT 87 AT MILE 87",65023
LA,Shreveport,32.5252,-93.7502,2.949,ELSIE AUTO AND TRUCK PLAZA,SR-1,65025
LA,Saint Rose,31.26996,-93.764864,3.2257,TA ST Rose #06480,US-61,65026
LA,Starks,31.281725,-90.023687,3.599,STARKS TRUCK STOP,SR-12,65027
LA,Thibodaux,29.928784,-90.394276,3.399,CASH MAGIC THIBODAUX,SR-1,65030
OH,Beaverdam,41.135842,-80.991386,3.3307,PILOT TRAVEL CENTERS #457,"I-75, EXIT 135",65033
LA,Delhi,31.328784,-93.288393,2.964,WAVERLY TRUCKSTOP,"I-20, EXIT 157 & SR-577",65036
LA,West Monroe,31.387607,-91.082511,2.9573,CIRCLE K #2707783,"I-20, EXIT 114 & SR-617",65037
MA,Westminster,41.436053,-73.780106,3.749,Irving,SR-2,65048
MD,Baltimore,39.2904,-76.6122,3.209,ROYAL FARMS #111,"I-95, EXIT 57",65059
MD,Big Pool,38.505122,-78.293277,3.659,AC & T BIG POOL,"I-70, EXIT 12 & SR-56",65062
MD,Hagerstown,40.42277,-77.128572,3.799,A C AND T SHARPSBURG PIKE,"I-70, EXIT 29A & SR-65",65064
MD,Hurlock,37.763946,-77.340336,3.259,HURLOCK CITGO,SR-392 & SR-331,65066
MD,Newburg,39.728652,-77.622689,3.379,SUNOCO,US-301,65067
ME,Auburn,43.4763,-68.508398,3.899,CIRCLE K #4707056,"I-95, EXIT 75",65069
ME,Medway,43.535123,-70.167221,3.5023,CIRCLE K #4707004,"I-95, EXIT 244 & SR-157",65074
ME,Portland,45.5051,-122.675,3.7423,CIRCLE K #4707017,"I-95, EXIT 48",65075
MI,Riverview,43.367794,-86.009624,3.639,SUNOCO,"I-75, EXIT 34B",65083
MI,Cadillac,42.450147,-86.415507,3.259,BEACON & BRIDGE #19,US-131 & SR-115,65084
